otc_id,nfl_player_id,esbid,gsis_id,gsis_it_id,pff_id
150,,GAR798176,00-0020260,26319,856
151,2532907,MCC384106,00-0029250,38549,7025
152,494289,MCM219811,00-0027743,35583,5667
153,,,00-0028548,38028,6710
154,2495869,JEN629013,00-0024277,30876,3007
155,496782,GAL199835,00-0027551,36075,6018
156,2495450,,00-0027942,37077,6156
157,71465,,00-0026982,34457,4929
158,,,00-0027411,35924,5921
159,2495977,,00-0024270,30869,3000
160,2495143,DAL659900,00-0027973,37110,6187
161,,COL511950,00-0026252,33193,4426
162,,GRE532094,00-0025860,33379,4599
163,,GHE250267,00-0027697,35535,5620
164,1062,BEN379259,00-0026201,33142,4375
165,2532959,THO492537,00-0029684,38623,7093
166,2507043,COL148683,00-0024588,32525,3909
168,496780,,00-0027662,35493,5579
169,2538147,LEW814204,00-0029696,39687,7624
170,,,00-0026723,34942,5347
171,2495123,BOL403287,00-0028039,37176,6253
172,2532864,HER657540,00-0029588,38721,7179
173,,,00-0029896,40186,8021
174,2495338,,00-0028352,37854,6570
175,,,00-0028554,38034,6714
176,2532954,STI382761,00-0029258,38583,7056
177,2506925,,00-0024338,30937,3068
178,,MOC188520,00-0028004,37141,6218
179,2533060,KIR621103,00-0029560,38547,7023
180,2536032,LAM793930,00-0029479,39361,7561
181,2532869,ILO355964,00-0029215,38697,7159
182,,,00-0029060,39007,7371
183,,,00-0025395,32201,3624
184,,,00-0022157,28057,1337
185,497238,GRE819895,00-0027873,35460,5546
186,2508051,CON466815,00-0027739,35578,5662
187,,,00-0027333,35846,5868
188,2539340,WAG554943,00-0029893,40116,7950
189,2532980,ZEI626612,00-0029592,38557,7032
190,,COO188321,00-0024670,32609,3914
191,,,00-0029645,39597,7615
192,2495617,HAL432931,00-0025405,32211,3634
193,71247,CAS214381,00-0027109,34603,5076
194,2532884,,00-0029293,38696,7158
195,2533040,SAN808447,00-0029632,38613,7084
196,2533047,CHA591533,00-0029414,38646,7116
197,2507167,NEL617002,00-0025408,32214,3637
198,2507673,SKU704190,00-0026725,34944,5349
199,2507644,HUM029529,00-0026672,34891,5310
200,,,00-0028072,37209,6286
201,,,00-0028105,37242,6319
202,2532997,PRA149241,00-0029214,38686,7149
203,2507203,BUS379552,00-0025512,32318,3741
204,494283,MAY817996,00-0027887,35488,5574
205,2506861,GRI674817,00-0024183,31569,3589
206,,WHA582770,00-0022214,29047,1815
207,2506874,BUS294963,00-0024217,30816,2947
208,2533058,BUR044491,00-0028912,38856,7280
209,2495634,HOU439651,00-0025428,32234,3657
210,2508110,WIL132538,00-0027972,37109,6186
211,496766,CAR486635,00-0027677,35511,5597
212,496825,MOA594964,00-0027777,35617,5701
213,2506916,SMI080910,00-0024318,30917,3048
214,,,00-0028695,38162,6815
215,2495157,HAI673464,00-0028060,37197,6274
216,2530515,,00-0028237,37737,6468
217,2506282,LAD000000,00-0023298,30452,2687
218,2508054,SCO142406,00-0027750,35590,5674
219,2508129,WHI137459,00-0028107,37244,6321
220,497204,SPI347627,00-0027861,35448,5534
221,,,00-0027624,36159,6055
222,2532849,GLE000000,00-0029561,38571,7045
223,496729,BUT133826,00-0027763,35603,5687
